requirement_id,passed,blocking,value,detail
A2_VALIDATED,True,True,True,A2 validator must pass over all 341 partitions.
A2_SCOPE_PRE_ROUTER_ONLY,True,True,PRE_ROUTER_SIGNAL_CANDIDATES,A2 must remain a pre-router candidate build.
A2_SEALED_CUTOFF,True,True,2025-01-01T00:00:00+00:00,The replay input cutoff must remain sealed before 2025.
P3R_CONTRACT_FROZEN,True,True,True,The preregistered P3R execution contract must be present.
LINEAGE_HASH_MANIFEST_COMPLETE,True,True,True,"Every frozen signal, router, hold-rule, and A3B source must be hashed."
A3B_EVIDENCE_COMPLETE,True,True,True,"A3B control parity, dense completed-bar audit, gap resolution, and deterministic omission resolution must validate offline."
C2_CANONICAL_MEMBERSHIP_301,True,True,301,C2 requires a canonical 301-decision membership ledger.
D2_CANONICAL_MEMBERSHIP_301,True,True,301,D2 requires a canonical 301-decision membership ledger.
E2_CANONICAL_MEMBERSHIP_301,True,True,301,E2 requires a canonical 301-decision membership ledger.
LEGACY_CONTROL_CANDIDATE_HASH_MATCH,True,True,True,The six-asset 688-candidate control must match RD16L authority.
LEGACY_CONTROL_EVALUATED_HASH_MATCH,True,True,True,The six-asset 688-row evaluated ledger must match RD16L authority.
LEGACY_CONTROL_TRADE_HASH_MATCH,True,True,True,The six-asset 567-trade ledger must match RD16L authority.
FULL_TOP6_CANDIDATE_COVERAGE,True,True,1.0,Full operational Top-6 candidate coverage must be at least 95%.
MEMBER_EVALUATION_AUDIT_COVERAGE,True,True,1.0,Every completed causal member bar requires one audit decision.
HISTORICAL_GAP_MEMBERSHIP_RESOLUTION,True,True,True,Historical-source gaps must be resolved against operational memberships.
OMISSION_REPLACEMENT_READINESS,True,True,True,Every LOAO omission must have deterministic resolution; BCHSV-USDT and PEPE-USDT require actual replacements.
NO_PROHIBITED_ACTIVITY,True,True,"{'strategy_replay_executed': False, 'portfolio_routing_executed': False, 'exit_simulation_executed': False, 'return_calculation_executed': False, 'post_2024_accessed': False, 'production_authorized': False, 'network_requests': 0}","A3 review cannot execute replay, routing, exits, returns, network requests, post-2024 access, or production."
