provider,snapshot_date,observation_time_utc,available_at_utc,availability_bound_proven,current_supply_lookahead_rejected,timing_gate,reason
coinmarketcap_public,2021-05-09,2021-05-09T00:00:00Z,,False,True,False,Publication/availability evidence is not sufficient for a clean causal PIT gate.
coinmarketcap_public,2022-06-26,2022-06-26T00:00:00Z,,False,True,False,Publication/availability evidence is not sufficient for a clean causal PIT gate.
coinmarketcap_public,2023-10-22,2023-10-22T00:00:00Z,,False,True,False,Publication/availability evidence is not sufficient for a clean causal PIT gate.
coinmarketcap_public,2024-03-10,2024-03-10T00:00:00Z,,False,True,False,Publication/availability evidence is not sufficient for a clean causal PIT gate.
coingecko_demo,2021-05-09,2021-05-09T00:00:00Z,,False,True,False,Publication/availability evidence is not sufficient for a clean causal PIT gate.
coingecko_demo,2022-06-26,2022-06-26T00:00:00Z,,False,True,False,Publication/availability evidence is not sufficient for a clean causal PIT gate.
coingecko_demo,2023-10-22,2023-10-22T00:00:00Z,,False,True,False,Publication/availability evidence is not sufficient for a clean causal PIT gate.
coingecko_demo,2024-03-10,2024-03-10T00:00:00Z,,False,True,False,Publication/availability evidence is not sufficient for a clean causal PIT gate.
coinpaprika_public,2021-05-09,2021-05-09T00:00:00Z,,False,True,False,Publication/availability evidence is not sufficient for a clean causal PIT gate.
coinpaprika_public,2022-06-26,2022-06-26T00:00:00Z,,False,True,False,Publication/availability evidence is not sufficient for a clean causal PIT gate.
coinpaprika_public,2023-10-22,2023-10-22T00:00:00Z,,False,True,False,Publication/availability evidence is not sufficient for a clean causal PIT gate.
coinpaprika_public,2024-03-10,2024-03-10T00:00:00Z,,False,True,False,Publication/availability evidence is not sufficient for a clean causal PIT gate.
cryptocompare_public,2021-05-09,2021-05-09T00:00:00Z,,False,True,False,Publication/availability evidence is not sufficient for a clean causal PIT gate.
cryptocompare_public,2022-06-26,2022-06-26T00:00:00Z,,False,True,False,Publication/availability evidence is not sufficient for a clean causal PIT gate.
cryptocompare_public,2023-10-22,2023-10-22T00:00:00Z,,False,True,False,Publication/availability evidence is not sufficient for a clean causal PIT gate.
cryptocompare_public,2024-03-10,2024-03-10T00:00:00Z,,False,True,False,Publication/availability evidence is not sufficient for a clean causal PIT gate.
tradingview_free_manual,2021-05-09,2021-05-09T00:00:00Z,,False,True,False,Publication/availability evidence is not sufficient for a clean causal PIT gate.
tradingview_free_manual,2022-06-26,2022-06-26T00:00:00Z,,False,True,False,Publication/availability evidence is not sufficient for a clean causal PIT gate.
tradingview_free_manual,2023-10-22,2023-10-22T00:00:00Z,,False,True,False,Publication/availability evidence is not sufficient for a clean causal PIT gate.
tradingview_free_manual,2024-03-10,2024-03-10T00:00:00Z,,False,True,False,Publication/availability evidence is not sufficient for a clean causal PIT gate.
